Year,Source,URL,Letters,Words,Sentences,Paragraphs
2012,opinion,https://www.opinion.com.bo/articulo/tendencias/olimpiadas-bolivia-nunca-gano-medalla/20120722171200662518.html,6387,1336,46,36
2012,eju,https://eju.tv/2012/11/subvencin-carburantes-de-bolivia-entre-los-tres-ms-baratos/,3517,755,32,15
2012,opinion,https://www.opinion.com.bo/articulo/cochabamba/morales-anuncia-compra-2-helicopteros-fab/20120708225300423577.html,1759,353,15,13
2012,opinion,https://www.opinion.com.bo/articulo/el-pais/evo-morales-tuvo-encuentro-cercano-hombre-mas-alto-bolivia/20120715125700424351.html,3677,825,54,36
2012,opinion,https://www.opinion.com.bo/articulo/cultura/alistan-fiesta-cultural-celebrar-dia-patrimonio/20120930040500433345.html,2074,388,13,11
2012,eju,https://eju.tv/2012/05/bolivia-cuenta-con-el-internet-mas-lento-y-caro-de-la-regin/,2695,554,18,15
2012,eju,https://eju.tv/2012/05/en-bolivia-nmero-de-jubilados-con-fondo-solidario-crece-4-veces-en-1-ao/,4848,1011,32,19
2012,eju,https://eju.tv/2012/01/de-51-708-empresas-registradas-en-bolivia-slo-3-son-grandes/,6005,1242,49,25
2012,opinion,https://www.opinion.com.bo/articulo/el-pais/benjamin-bolivia-cumple-74-anos-vida-desafios/20120923215700432680.html,2601,559,25,13
2012,eju,https://eju.tv/2012/10/migracin-cree-que-pablo-cosso-sigue-en-bolivia/,1518,303,13,6
2012,opinion,https://www.opinion.com.bo/articulo/el-pais/bolivia-aguarda-pronta-respuesta-eeuu-extradicion-goni/20120304205800407052.html,2913,565,15,1
2012,eju,https://eju.tv/2012/07/empresa-china-desempolva-la-estatal-papelbol/,4351,871,22,18
2012,opinion,https://www.opinion.com.bo/articulo/tendencias/hallazgo-film-mudo-cambia-historia-nacional/20121223051900663364.html,5483,1137,41,33
2012,eju,https://eju.tv/2012/05/travestis-la-reconquista/,8313,1774,69,28
2012,opinion,https://www.opinion.com.bo/articulo/economi%C2%ADa/san-martin-porres-es-mas-grandes-bolivia/20121014212800434938.html,4084,836,51,31
2012,opinion,https://www.opinion.com.bo/articulo/informe-especial/anonymous-tambien-hizo-sentir-poder-bolivia/20120129194300661441.html,3942,785,27,20
2012,opinion,https://www.opinion.com.bo/articulo/economi%C2%ADa/jesus-nazareno-expande-oriente-valle-cochabambino/20120603212800419352.html,2759,576,24,19
2012,opinion,https://www.opinion.com.bo/articulo/informe-especial/inhibidores-anfetaminas-mercado-clandestino/20120916051200662820.html,4031,774,26,23
2012,opinion,https://www.opinion.com.bo/articulo/informe-especial/plagio-danzas-enfrento-bolivia-peru-chile/20120219062500661578.html,4146,870,24,20
2012,eju,https://eju.tv/2012/12/gobierno-boliviano-celebra-adhesin-a-mercosur-y-empresarios-mantienen-alerta/,3620,742,19,19
2013,eju,https://eju.tv/2013/05/oea-revela-que-cocana-sale-de-bolivia-por-cuatro-rutas/,4214,867,25,19
2013,opinion,https://www.opinion.com.bo/articulo/el-pais/nino-boliviano-mas-famoso-youtube-dice-asusto-tio/20131103204300452977.html,4265,972,47,19
2013,eju,https://eju.tv/2013/09/las-dos-a-eludir-el-ltimo-lugar/,4254,901,22,20
2013,eju,https://eju.tv/2013/02/un-general-de-la-fab-es-embajador-de-bolivia-en-la-repblica-argentina/,3260,628,18,13
2013,opinion,https://www.opinion.com.bo/articulo/cultura/maria-juana-adelanta-viaje-vina-disenar-coreografia/20130215203000462753.html,1673,341,14,11
2013,opinion,https://www.opinion.com.bo/articulo/el-pais/cocina-boliviana-sale-mundo-fusion/20130922214100448837.html,1158,239,6,5
2013,eju,https://eju.tv/2013/09/lucha-antidrogas-aplazo-de-eeuu-deteriora-imagen-de-bolivia/,3177,648,29,11
2013,opinion,https://www.opinion.com.bo/articulo/informe-especial/atlas-bolivia-permite-uso-eficiente-energia-solar/20130818005400663901.html,2788,560,23,19
2013,vanguardia,https://www.vanguardia.com/mundo/2013/05/12/bolivia-anuncia-que-usara-su-satelite-para-seguridad-y-defensa/,798,156,5,4
2013,opinion,https://www.opinion.com.bo/articulo/el-pais/bolivia-expone-mundo-vulnerabilidad-defensa-militar/20130727215500443860.html,9196,1780,62,53
2013,eju,https://eju.tv/2013/01/traficantes-de-armas-posaban-para-la-foto-con-fusiles-de-asalto/,3932,799,37,18
2013,eju,https://eju.tv/2013/07/la-paz-tiene-el-edificio-ms-alto-de-bolivia-y-tendr-el-mayor-complejo-inmobiliario-del-pas/,2405,521,22,12
2013,opinion,https://www.opinion.com.bo/articulo/economi%C2%ADa/bolivia-exporta-mas-paises-alianza-alba/20130623220900474890.html,3028,620,18,15
